Part No,Lot No,Sample,Panel ID,Criterion internal,Criterion CofC,Position,PTH,Measuring point,Measuring value,LSL,USL,LCL,UCL
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 1,18.03,12,24,13.8,22.2
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 2,18.03,12,24,13.8,22.2
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 3,18.85,12,24,13.8,22.2
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 2,18.03,12,24,13.8,22.2
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 3,18.03,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 1,16.8,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 2,15.49,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 3,15.82,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 4,15.49,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 3,M 5,16.14,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 3,M 6,18.45,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH) - Mw,PTH wall thickness MTH - Ave,Pos 1,PTH 1,M 1,16.22,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH) - Mw,PTH wall thickness MTH - Ave,Pos 2,PTH 1,M 1,16.55,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH) - Mw,PTH wall thickness MTH - Ave,Pos 3,PTH 1,M 1,16.55,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH) - Mw,PTH wall thickness MTH - Ave,Pos 4,PTH 1,M 1,17.22,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH) - Mw,PTH wall thickness MTH - Ave,Pos 5,PTH 1,M 1,17.1,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 1,PTH 1,M 1,17.79,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 1,PTH 1,M 2,14.83,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 1,PTH 1,M 3,16.47,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 1,PTH 1,M 4,15.82,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 5,PTH 3,M 5,18.12,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 5,PTH 3,M 6,18.78,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP - Mw,PTH wall thickness AMP - Ave,Pos 1,PTH 1,M 1,16.29,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP - Mw,PTH wall thickness AMP - Ave,Pos 2,PTH 1,M 1,18.03,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP - Mw,PTH wall thickness AMP - Ave,Pos 3,PTH 1,M 1,18.71,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP - Mw,PTH wall thickness AMP - Ave,Pos 4,PTH 1,M 1,17.86,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP - Mw,PTH wall thickness AMP - Ave,Pos 5,PTH 1,M 1,19.5,12,24,13.8,22.2
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 front,Cu lid thickness front,Pos 1,PTH 1,M 1,14.17,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 front,Cu lid thickness front,Pos 1,PTH 2,M 1,14.83,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 front,Cu lid thickness front,Pos 1,PTH 3,M 1,13.51,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 front,Cu lid thickness front,Pos 5,PTH 3,M 1,15.16,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 front - Mw,Cu lid thickness front - Ave,Pos 1,PTH 1,M 1,14.17,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 front - Mw,Cu lid thickness front - Ave,Pos 2,PTH 1,M 1,14.06,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 front - Mw,Cu lid thickness front - Ave,Pos 3,PTH 1,M 1,13.4,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 front - Mw,Cu lid thickness front - Ave,Pos 4,PTH 1,M 1,15.16,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 front - Mw,Cu lid thickness front - Ave,Pos 5,PTH 1,M 1,14.61,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 back,Cu lid thickness back,Pos 1,PTH 1,M 1,14.5,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 back,Cu lid thickness back,Pos 1,PTH 2,M 1,14.5,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 back,Cu lid thickness back,Pos 1,PTH 3,M 1,14.5,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 back,Cu lid thickness back,Pos 2,PTH 1,M 1,14.17,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 back,Cu lid thickness back,Pos 5,PTH 3,M 1,14.17,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 back - Mw,Cu lid thickness back - Ave,Pos 1,PTH 1,M 1,14.5,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 back - Mw,Cu lid thickness back - Ave,Pos 2,PTH 1,M 1,14.06,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 back - Mw,Cu lid thickness back - Ave,Pos 3,PTH 1,M 1,12.96,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 back - Mw,Cu lid thickness back - Ave,Pos 4,PTH 1,M 1,15.05,9.5,17.5,10.7,16.3
AMPC0000,605000251542,Sample 2,27,Deckeldicke 1 back - Mw,Cu lid thickness back - Ave,Pos 5,PTH 1,M 1,14.17,9.5,17.5,10.7,16.3
